DATE,TIME,NAME,AREA,FEE,DOSE 1,VACCINE
31-05-2021,11:03:31,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:03:47,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:04:03,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:04:18,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:10:28,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:10:43,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:10:59,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:11:15,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:11:30,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:11:30,Kavery Hospital-Covaxin,Teynampet,Paid,77,COVAXIN
31-05-2021,11:11:47,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:11:47,Kavery Hospital-Covaxin,Teynampet,Paid,77,COVAXIN
31-05-2021,11:12:03,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:12:03,Kavery Hospital-Covaxin,Teynampet,Paid,77,COVAXIN
31-05-2021,11:12:19,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:12:19,Kavery Hospital-Covaxin,Teynampet,Paid,77,COVAXIN
31-05-2021,11:12:35,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:12:35,Apollo Mains Greams,Teynampet,Paid,3,COVAXIN
31-05-2021,11:12:51,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:12:51,Apollo Mains Greams,Teynampet,Paid,3,COVAXIN
31-05-2021,11:13:07,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:13:07,Apollo Mains Greams,Teynampet,Paid,3,COVAXIN
31-05-2021,11:13:23,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:13:23,Apollo Mains Greams,Teynampet,Paid,3,COVAXIN
31-05-2021,11:13:39,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:13:39,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:13:55,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:13:55,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:14:11,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:14:11,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:14:27,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:14:27,Kavery Hospital-Covaxin,Teynampet,Paid,44,COVAXIN
31-05-2021,11:14:27,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:14:44,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:14:44,Kavery Hospital-Covaxin,Teynampet,Paid,44,COVAXIN
31-05-2021,11:14:44,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:15:00,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:15:00,Kavery Hospital-Covaxin,Teynampet,Paid,44,COVAXIN
31-05-2021,11:15:00,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:15:17,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:15:17,Kavery Hospital-Covaxin,Teynampet,Paid,44,COVAXIN
31-05-2021,11:15:17,Kavery Hospital-Covaxin,Teynampet,Paid,100,COVAXIN
31-05-2021,11:15:33,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:15:33,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:15:33,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:15:33,Kavery Hospital-Covaxin,Teynampet,Paid,93,COVAXIN
31-05-2021,11:15:50,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:15:50,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:15:50,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:15:50,Kavery Hospital-Covaxin,Teynampet,Paid,93,COVAXIN
31-05-2021,11:16:07,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:16:07,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:16:07,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:16:07,Kavery Hospital-Covaxin,Teynampet,Paid,93,COVAXIN
31-05-2021,11:16:24,Apollo Tondiarpet - COVAXIN,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:16:24,B M Hospitals,Alandur,Paid,1,COVAXIN
31-05-2021,11:16:24,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:16:24,Kavery Hospital-Covaxin,Teynampet,Paid,93,COVAXIN
31-05-2021,11:16:41,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:16:41,Kavery Hospital-Covaxin,Teynampet,Paid,60,COVAXIN
31-05-2021,11:16:57,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:16:57,Kavery Hospital-Covaxin,Teynampet,Paid,60,COVAXIN
31-05-2021,11:17:13,Apollo Childrens HOS Covaxin,Tondiarpet,Paid,1,COVAXIN
31-05-2021,11:17:13,Kavery Hospital-Covaxin,Teynampet,Paid,60,COVAXIN
31-05-2021,11:17:29,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:17:29,Kavery Hospital-Covaxin,Teynampet,Paid,22,COVAXIN
31-05-2021,11:17:45,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:17:45,Kavery Hospital-Covaxin,Teynampet,Paid,22,COVAXIN
31-05-2021,11:18:01,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:18:01,Kavery Hospital-Covaxin,Teynampet,Paid,22,COVAXIN
31-05-2021,11:18:17,Apollo Mains Greams,Teynampet,Paid,1,COVAXIN
31-05-2021,11:18:17,Kavery Hospital-Covaxin,Teynampet,Paid,22,COVAXIN
31-05-2021,11:18:33,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:18:49,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:19:04,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:19:20,Kavery Hospital-Covaxin,Teynampet,Paid,1,COVAXIN
31-05-2021,11:20:37,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
31-05-2021,11:20:53,Apollo Spec Hosp OMR COVAXIN,Perungudi,Paid,1,COVAXIN
